  0.53500  0.88960  0.89491  0.85302  1.10302
  0.54000  0.89403  0.87381  0.85849  1.08282
  0.54500  0.89834  0.85257  0.86385  1.06245
  0.55000  0.90255  0.83120  0.86911  1.04194
  0.55500  0.90665  0.80971  0.87427  1.02127
  0.56000  0.91065  0.78809  0.87933  1.00044
  0.56500  0.91454  0.76635  0.88428  0.97948
  0.57000  0.91831  0.74450  0.88912  0.95836
  0.57500  0.92198  0.72253  0.89386  0.93711
  0.58000  0.92554  0.70044  0.89849  0.91571
  0.58500  0.92899  0.67825  0.90302  0.89418
  0.59000  0.93232  0.65594  0.90743  0.87251
  0.59500  0.93554  0.63353  0.91174  0.85071
  0.60000  0.93866  0.61102  0.91594  0.82878
  0.60500  0.94165  0.58841  0.92003  0.80673
  0.61000  0.94454  0.56571  0.92401  0.78455
  0.61500  0.94731  0.54290  0.92787  0.76225
  0.62000  0.94997  0.52001  0.93163  0.73983
  0.62500  0.95251  0.49703  0.93527  0.71729
  0.63000  0.95494  0.47396  0.93880  0.69464
  0.63500  0.95725  0.45081  0.94222  0.67188
  0.64000  0.95945  0.42758  0.94552  0.64901
  0.64500  0.96153  0.40427  0.94871  0.62604
  0.65000  0.96349  0.38089  0.95178  0.60296
  0.65500  0.96534  0.35744  0.95474  0.57978
  0.66000  0.96706  0.33391  0.95758  0.55651
  0.66500  0.96868  0.31032  0.96030  0.53315
  0.67000  0.97017  0.28667  0.96291  0.50969
  0.67500  0.97154  0.26296  0.96540  0.48614
  0.68000  0.97280  0.23919  0.96777  0.46251
  0.68500  0.97393  0.21537  0.97003  0.43880
  0.69000  0.97495  0.19149  0.97216  0.41501
  0.69500  0.97585  0.16757  0.97418  0.39114
  0.70000  0.97663  0.14360  0.97607  0.36720
  0.70500  0.97729  0.11958  0.97785  0.34319
  0.71000  0.97782  0.09553  0.97950  0.31911
  0.71500  0.97824  0.07144  0.98104  0.29496
  0.72000  0.97854  0.04732  0.98245  0.27076
  0.72500  0.97871  0.02317  0.98375  0.24649
  0.73000  0.97877 -0.00101  0.98492  0.22217
  0.73500  0.97870 -0.02522  0.98597  0.19780
  0.74000  0.97852 -0.04944  0.98690  0.17338
  0.74500  0.97821 -0.07369  0.98770  0.14891
  0.75000  0.97778 -0.09795  0.98839  0.12440
  0.75500  0.97723 -0.12222  0.98895  0.09984
  0.76000  0.97656 -0.14651  0.98938  0.07525
  0.76500  0.97576 -0.17080  0.98970  0.05063
  0.77000  0.97485 -0.19509  0.98989  0.02597
  0.77500  0.97381 -0.21939  0.98996  0.00129
  0.78000  0.97266 -0.24368  0.98990 -0.02342
  0.78500  0.97138 -0.26797  0.98972 -0.04815
