  0.00000  0.10000  0.00000  0.00000  0.00000
  0.01000  0.09998 -0.00500  0.00000 -0.00000
  0.02000  0.09990 -0.01000 -0.00000 -0.00000
  0.03000  0.09978 -0.01499 -0.00000 -0.00000
  0.04000  0.09960 -0.01998 -0.00000 -0.00000
  0.05000  0.09938 -0.02495 -0.00000 -0.00000
  0.06000  0.09910 -0.02991 -0.00000 -0.00000
  0.07000  0.09878 -0.03486 -0.00000 -0.00000
  0.08000  0.09840 -0.03979 -0.00000 -0.00000
  0.09000  0.09798 -0.04470 -0.00000 -0.00000
  0.10000  0.09751 -0.04959 -0.00000 -0.00000
  0.11000  0.09699 -0.05445 -0.00000 -0.00000
  0.12000  0.09642 -0.05929 -0.00000 -0.00000
  0.13000  0.09580 -0.06409 -0.00000 -0.00001
  0.14000  0.09514 -0.06887 -0.00000 -0.00001
  0.15000  0.09443 -0.07361 -0.00000 -0.00001
  0.16000  0.09367 -0.07831 -0.00000 -0.00001
  0.17000  0.09286 -0.08297 -0.00000 -0.00001
  0.18000  0.09201 -0.08760 -0.00000 -0.00001
  0.19000  0.09111 -0.09218 -0.00000 -0.00001
  0.20000  0.09016 -0.09671 -0.00000 -0.00001
  0.21000  0.08917 -0.10119 -0.00000 -0.00001
  0.22000  0.08814 -0.10562 -0.00000 -0.00001
  0.23000  0.08706 -0.11001 -0.00000 -0.00001
  0.24000  0.08594 -0.11433 -0.00000 -0.00001
  0.25000  0.08478 -0.11860 -0.00000 -0.00001
  0.26000  0.08357 -0.12281 -0.00000 -0.00001
  0.27000  0.08232 -0.12696 -0.00000 -0.00001
  0.28000  0.08103 -0.13104 -0.00000 -0.00001
  0.29000  0.07970 -0.13506 -0.00000 -0.00001
  0.30000  0.07833 -0.13901 -0.00000 -0.00001
  0.31000  0.07692 -0.14289 -0.00000 -0.00001
  0.32000  0.07547 -0.14670 -0.00000 -0.00001
  0.33000  0.07398 -0.15044 -0.00000 -0.00001
  0.34000  0.07246 -0.15410 -0.00000 -0.00001
  0.35000  0.07090 -0.15769 -0.00000 -0.00001
  0.36000  0.06931 -0.16119 -0.00000 -0.00001
  0.37000  0.06768 -0.16462 -0.00001 -0.00001
  0.38000  0.06602 -0.16796 -0.00001 -0.00001
  0.39000  0.06432 -0.17122 -0.00001 -0.00001
  0.40000  0.06259 -0.17439 -0.00001 -0.00001
  0.41000  0.06083 -0.17748 -0.00001 -0.00001
  0.42000  0.05904 -0.18047 -0.00001 -0.00001
  0.43000  0.05722 -0.18338 -0.00001 -0.00001
  0.44000  0.05537 -0.18620 -0.00001 -0.00001
  0.45000  0.05350 -0.18892 -0.00001 -0.00001
  0.46000  0.05160 -0.19155 -0.00001 -0.00001
  0.47000  0.04967 -0.19408 -0.00001 -0.00001
  0.48000  0.04771 -0.19651 -0.00001 -0.00001
